nada,caption,rating,caption_cleaned
0,Muy buena atencion,5.0,buen atencion
2,"Este Banco (todas las sucursales) tiene los recursos para una funcionalidad, reputación y confianza óptimas. Sin embargo, algunos 'modelos de negocios' y políticas internas están condicionadas, limitadas por una cultura y mentalidad no inclusivas. Significando que ven como no necesario brindar ciertos servicios básicos como: extración por ventanilla, envío de resumenes digitales y comunicación de cambios en los servicios, etc, a clientes 'pobres', cuyas cuentas no manejen volumenes altos de dinero. Señores debiesen revisar esto, pues ustedes, no lo tomen a mal, distan mucho de ser el Mitsubishi UFJ Financial Group, o el Chase Manhattan Bank, ni siquiera se acercan al BPN Pariba. Sugerencia: la actitud de servicio, la humildad, el respeto y cercanía a TODOS sus clientes es el comienzo a un mejor Banco. No solo debe ser visible en el trato al cliente, va más allá de eso, debe estar reflejado en una selección de servicios que solucionen problemas puntuales cotidianos de TODOS los usuarios, de la forma más rápida, eficiente y alegre posible",1.0,banc tod sucursal recurs funcional reput confianz optim embarg model negoci polit intern condicion limit cultur mental inclus signific ven necesari brind ciert servici basic extracion ventanill envi resumen digital comun cambi servici etc client pobr cuy cuent manej volumen altos diner señor deb revis pues usted tom mal dist ser mitsubishi ufj financial group chas manhatt bank siqu acerc bpn parib sugerent actitud servici humild respet cercan client comienz mejor banc sol deb ser visibl trat client va alla deb reflej seleccion servici solucion problem puntual cotidian usuari form rap eficient alegr posibl
3,"Nunca me atendio tan mal el personal de recepción de un banco, daba la impresión que le generaba molestia que le haga una consulta. Si no les gusta su trabajo, o les incómoda la atención al público, busquense otro rubro.",1.0,nunc atendi tan mal personal recepcion banc dab impresion gener molesti hag consult si gust trabaj incomod atencion public busquens rubr
4,"TE OFRECEN MILES DE ""BENEFICIOS"" PARA ABRIR UNA CUENTA Y NO CUMPLEN CON NADA, USUREROS",1.0,ofrec mil benefici abrir cuent cumpl usurer
5,"te ofrecen el oro y el moro para que abras una cuenta (millas latam etc) y obvio NUNCA LO CUMPLEN. no creer nada de lo que dicen para que te pases de banco , son MENTIRAS!",1.0,ofrec oro mor abras cuent mill latam etc obvi nunc cumpl cre dic pas banc mentir
6,Nunca acepten una tarjeta bonificada emitida por este banco!! Después aunque NUNCA la hayas habilitado ni usado te quieren cobrar y te amenazan con hacerte juicio y mandarte al veraz,1.0,nunc acept tarjet bonific emit banc despues aunqu nunc habilit usad quier cobr amenaz hacert juici mandart veraz
7,Poca gente atiende tan bien como ellos,5.0,poc gent atiend tan bien
8,Jamas te podes comunicar con nadie de carne y hueso que te solucionen nada!!! Da asco la atención! Te boludean! Ni por mail ni por telefono ni por chat!!!! Me cobraron casi 500 pesos mas de lo que decía mi resumen de 2 tarjetas y nadie me responde!,1.0,jam pod comunic nadi carn hues solucion da asco atencion bolud mail telefon chat cobr casi 500 pes mas dec resum 2 tarjet nadi respond
11,El interior de éste edificio es impactante.,4.0,interior este edifici impact
12,"No te preocupes Mariano cuando la recibas verás que han vaciado tu cuenta y cuando reclames, por escrito en la sucursal te diran que tu queja no sirve de nada, que llames por teléfono y cuando llames por teléfono te diran que no se hacen cargo de nada!!!",1.0,preocup marian recib veras vaci cuent reclam escrit sucursal dir quej sirv llam telefon llam telefon dir hac carg
